video_id,url,title,channel,upload_date,duration_s,license,singer_count_est,latency_regime_label,satb_confirmed,download_sha256,ingest_date,notes,tier
m811fZiPyaQ,https://www.youtube.com/live/m811fZiPyaQ,Jamulus Choral Festival,WorldJam,20200716,4055,Standard YouTube License,40,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Hacker Tier-0 seed (re-confirmed) | Description explicitly states 'this is not pre-recorded music spliced together … this is REAL. LIVE. MUSIC'; streamed live with spontaneous conductor interactions.,Tier-0
nPRUe91jnPs,https://www.youtube.com/watch?v=nPRUe91jnPs,Conducting a Choir in Jamulus,Jurriaan Grootes,20210128,2967,Standard YouTube License,20,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Screen-captured Jamulus UI with server jitter and live metronome visible; continuous uninterrupted session capture without any DAW editing.,Tier-1
ouFyQKszE_Y,https://youtu.be/ouFyQKszE_Y,"Soundjack rehearsal Monday, 2021 June 7: Untraveled Worlds",New Jersey Gay Men's Chorus,20221218,71,Standard YouTube License,12,NMP-SoundJack,unknown,pending-sprint3,2026-05-17,Visible discrepancy between facial lip movements and vocal onset in individual tiles confirms impossibility of comped mix.,Tier-1
u7UTcrzQngs,https://www.youtube.com/watch?v=u7UTcrzQngs,Space for Peace Virtual - Live on ZOOM 29th June 2020,Music Centre - University of Winchester,20200707,2124,Standard YouTube License,30,Zoom-only,unknown,pending-sprint3,2026-05-17,"yt-dlp failed: ERROR: [youtube] u7UTcrzQngs: This video is not available | revived 2026-05-19 via yt-dlp player_client=web,android workaround",Tier-1
uO2C6f7iF-M,https://youtu.be/uO2C6f7iF-M,London City Voices - a small group sings Mr Blue Sky by ELO LIVE over Jamulus and Zoom,London City Voices Choir,20210130,295,Standard YouTube License,8,NMP-Jamulus+Zoom,unknown,pending-sprint3,2026-05-17,Positioned as live demonstration rather than polished performance; unquantized entrances and minor phase issues from varying jitter present.,Tier-1
w0ywMP8mOc4,https://youtu.be/w0ywMP8mOc4,And so it goes Jamulus choral festival.,Martin Waugh,20210417,278,Standard YouTube License,24,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Description states 'unedited as it happened — no stitching together on a computer'; minor network volume imbalances persist.,Tier-1
zOAHHX6A8p0,https://youtu.be/zOAHHX6A8p0,Bell Carol (Arr. by H. Sorenson) – Online Laboratory Choir of the Choir@Home Project,Virtual Choir HQ,20231222,256,Standard YouTube License,34,NMP-SoundJack,unknown,pending-sprint3,2026-05-17,"Project explicitly investigates live online performance using low-latency software; described as a direct SoundJack session capture, not a compiled studio recording.",Tier-1
zp1qLCckgLk,https://youtu.be/zp1qLCckgLk,Karen Richardson appearing on the Jamulus World Jam - Somebody To Love (Queen Cover) 13/06/2020,Strangers To Riches,20200613,533,Standard YouTube License,10,NMP-Jamulus,unknown,pending-sprint3,2026-05-17,Hacker Tier-0 seed (re-confirmed) | Unquantized vocal entrances and real-time backing-track drift audible throughout; raw Jamulus session capture.,Tier-0
VsnvueTan4I,https://www.youtube.com/watch?v=VsnvueTan4I,Our First Virtual Choir Rehearsal using live video chat on ZOOM!,Roanoke Valley Children's Choir,20200407,255,Standard YouTube License,30,Zoom-only,unknown,pending-sprint3,2026-05-19,"Zoom-stratum supplement (Sprint-2 patch): First virtual rehearsal of Roanoke Valley Children's Choir on Zoom, Apr 2020. Raw Zoom audio with uneven entrances.",Tier-1
KJruTaWTWlY,https://www.youtube.com/watch?v=KJruTaWTWlY,What is a Virtual Choir Rehearsal like on ZOOM?? | How To Sing Choir Warm-ups Together Online,Roanoke Valley Children's Choir,20210223,513,Standard YouTube License,25,Zoom-only,unknown,pending-sprint3,2026-05-19,"Zoom-stratum supplement (Sprint-2 patch): Roanoke choir warm-up demo over native Zoom; latency-aware loose alignment, no DAW mix. BORDERLINE (workshop framing in title).",Tier-1
s3ZVr6ki2vw,https://www.youtube.com/watch?v=s3ZVr6ki2vw,Zoom Choir Rehearsal 5.6.2020,Rick McCollum,20200509,2711,Standard YouTube License,35,Zoom-only,unknown,pending-sprint3,2026-05-19,"Zoom-stratum supplement (Sprint-2 patch): Rick McCollum church choir, week 2 Zoom rehearsal, May 2020. 45 min raw capture with talkover, dropouts. OVER 30-MIN LIMIT.",Tier-1
DLdFR7m1thI,https://www.youtube.com/watch?v=DLdFR7m1thI,Zoom Choir Rehearsal 5.27.2020,Rick McCollum,20200528,3026,Standard YouTube License,35,Zoom-only,unknown,pending-sprint3,2026-05-19,"Zoom-stratum supplement (Sprint-2 patch): Rick McCollum church choir, week 4 Zoom rehearsal, May 2020. 50 min with sectional run-throughs, mute issues. OVER 30-MIN LIMIT.",Tier-1
q1rLPIsIPZI,https://www.youtube.com/watch?v=q1rLPIsIPZI,Zoom Choir Rehearsal 6.10.2020,Rick McCollum,20200611,1726,Standard YouTube License,35,Zoom-only,unknown,pending-sprint3,2026-05-19,"Zoom-stratum supplement (Sprint-2 patch): Rick McCollum church choir, week 6 Zoom rehearsal, Jun 2020. 29 min with live accompaniment and mute issues.",Tier-1
